Withdrawal Application No,Loan/Grant No,Type,Country,Executing Agency,Project Name,Sector,Regional Department,Disbursement Amount (USD),Currency,Date Received,Date Processed,Processing Days,SLA Target (Days),SLA Met,Status,Processing Officer,Division,Fiscal Year,Quarter
WA-2025-100152,GR-4152-MFF,Grant,Nepal,Ministry of Energy,Climate Resilient Infrastructure,Finance,SARD,"USD 194,606.56",USD,"Apr 28, 2025","May 03, 2025",5.0,7,Y,Processed,,CTLA-PMR,2025,Q2 2025
WA-2025-100108,LN-4108-REG,Loan,Cambodia,  Ministry of Agriculture  ,Solar Power Generation Project,Energy,SERD,"$82,222.07",USD,17/01/2025,24-Jan-2025,,7,Yes,Processed,L. Halliwell,CTLA-LGD,2025,Q1 2025
WA-2026-100361,GR-4361-SF,Grant,India,  Department of Social Welfare,Climate Resilient Infrastructure,Transport,SARD,"894,118.25",USD,21/05/2025,24/05/2025,3.0,7,1,Processed,R. Baluyot,CTLA-LGD,2025,Q2 2025
WA-2025-100024,LN-4024-REG,Loan,INDONESIA, Municipal Development Fund  ,Small Business Support Facility,Multisector,SERD,"$52,348.40",USD,02-06-2025,"Feb 09, 2025",3.0,7,Yes,Processed,M. Pastoral,CTLA-LGD,2025,Q1 2025
WA-2026-100271,LN-4271-SF,Loan,Lao PDR,  Provincial Government  ,Agriculture Value Chain Development,Transport,SERD,813124.36,USD,10-28-2025,10-29-2025,1.0,7,Y,Processed,A. Asuncion,CTLA-LGD,2025,Q4 2025
WA-2026-100357,TA-4357-REG,TA,Fiji,  Department of Public Works  ,Public Financial Management Reform,Public Sector Management and Governance,PARD,"$64,907.28",USD,2025-05-10,11/05/2025,1.0,7,1,Processed,R. Baluyot,CTLA-TA,2025,Q2 2025
WA-2026-100467,TA-4467-MFF,TA,Indonesia ,Ministry of Transport ,Sustainable Urban Transport,Education,SERD,"USD 5,539,114.34",USD,02/05/2026,09-May-2026,7.0,7,Yes,Processed,R. Baluyot,CTLA-TA,2026,Q2 2026
WA-2025-100160,TA-4160-SF,TA,Myanmar,Ministry of Agriculture  ,Urban Water Supply Program,Finance,SERD,"$77,514.01",USD,"Mar 04, 2025",20-Mar-2025,16.0,7,0,Processed,D. Manurung,CTLA-TA,2025,Q1 2025
WA-2025-100074,LN-4074-MFF,Loan,Sri Lanka,  National Housing Authority,Smart City Development,Public Sector Management and Governance,SARD,"370,122.94",USD,18/03/2025,2025-03-23,5.0,7,Y,Processed,R. Dadufalza,CTLA-LGD,2025,Q1 2025
WA-2026-100375,LN-4375-REG,Loan,Bangladesh, Provincial Government ,Climate Resilient Infrastructure,ICT,SARD,"$507,099.02",USD,30-Mar-2025,,,7,-,On Hold,H.C. Park,CTLA-LGD,2025,Q1 2025
WA-2026-100085,LN-4085-SF,Loan,Lao PDR,Municipal Development Fund ,Rural Roads Improvement Project,ICT,SERD,"763,958.95",USD,"Nov 03, 2025","Nov 08, 2025",5.0,7,Y,Processed,L. Belingon,CTLA-LGD,2025,Q4 2025
WA-2025-100186,GR-4186-REG,Grant,Bangladesh,Ministry of Education  ,Renewable Energy Development,Transport,SARD,"12,878,694.75",USD,25/05/2026,"May 31, 2026",6.0,7,TRUE,Processed,H.C. Park,CTLA-LGD,2026,Q2 2026
WA-2026-100177,GR-4177-REG,Grant,Myanmar,  Municipal Development Fund,Girls Education Support Program,Water and Urban Development,SERD,56754.67,USD,03-31-2026,2026-04-21,21.0,7,No,Processed,,CTLA-LGD,2026,Q1 2026
WA-2026-100023,TA-4023-MFF,TA,Kazakhstan,National Water Utility,Regional Trade Facilitation,Education,CWRD,35155.55,USD,01-Jan-2026,"Jan 03, 2026",2.0,7,yes,Processed,R. Perez,CTLA-TA,2026,Q1 2026
WA-2025-100250,TA-4250-SF,TA,Lao PDR,Municipal Development Fund ,Urban Water Supply Program,Public Sector Management and Governance,SERD,"$36,080.56",USD,"Apr 10, 2026",,N/A,7,NA,On Hold,D. Manurung,CTLA-TA,2026,Q2 2026
WA-2025-100408,LN-4408-REG,Loan,Tajikistan,  Ministry of ICT,Solar Power Generation Project,Finance,CWRD,47233.34,USD,12-Dec-2025,"Dec 13, 2025",1 days,7,Yes,Processed,O. Orcas,CTLA-PMR,2025,Q4 2025
WA-2025-100202,LN-4202-SF,Loan,India,Ministry of Agriculture ,Digital Government Transformation,Health,SARD,"$93,392.34",USD,16-Jan-2025,01-19-2025,3.0,7,Y,Processed,,CTLA-LGD,2025,Q1 2025
WA-2025-100212,LN-4212-MFF,Loan,Papua New Guinea,Ministry of Education,Sustainable Urban Transport,Health,PARD,194507.17,USD,2025-01-16,18-Jan-2025,2 days,7,Y,Processed,O. Domagas,CTLA-LGD,2025,Q1 2025
WA-2026-100083,LN-4083-MFF,Loan,India, National Housing Authority  ,Basic Education Sector Program,Water and Urban Development,SARD,"$39,988.50",USD,23/11/2025,2025-11-24,1.0,7,TRUE,Processed,B. Choi,CTLA-LGD,2025,Q4 2025
WA-2025-100088,LN-4088-SF,Loan,Papua New Guinea,Central Bank,Skills Development Program,Health,PARD,52647.91,USD,09/05/2025,11/05/2025,2.0,7,Yes,Processed,E. Lazaro,CTLA-PMR,2025,Q2 2025
WA-2026-100369,GR-4369-REG,Grant,Papua New Guinea,  National Road Authority  ,Agriculture Value Chain Development,Water and Urban Development,PARD,"USD 271,144.83",USD,03-Dec-2025,18-Dec-2025,15.0,7,No,Processed,B. Choi,CTLA-LGD,2025,Q4 2025
WA-2026-100447,LN-4447-REG,Loan,NULL, National Water Utility  ,Rural Roads Improvement Project,Public Sector Management and Governance,EARD,323989.78,USD,12-03-2025,"Dec 09, 2025",6.0,7,Yes,Processed,H.C. Park,CTLA-PMR,2025,Q4 2025
WA-2025-100348,LN-4348-REG,Loan,Papua New Guinea,  Ministry of Transport,Climate Resilient Infrastructure,Education,PARD,"$1,875,287.37",USD,"Apr 27, 2025",,pending,7,NA,Pending,,CTLA-LGD,2025,Q2 2025
WA-2025-100328,GR-4328-SF,Grant,Tajikistan, Ministry of Finance,Small Business Support Facility,Finance,CWRD,"USD 771,934.66",USD,20-May-2025,22-May-2025,2.0,7,yes,Processed,O. Orcas,CTLA-LGD,2025,Q2 2025
WA-2025-100214,LN-4214-SF,Loan,Kazakhstan, National Road Authority  ,Public Financial Management Reform,"Agriculture, Food, Nature and Rural Development",CWRD,"USD 73,458.85",USD,13/10/2025,23-Oct-2025,10.0,7,0,Processed,H.C. Park,CTLA-LGD,2025,Q4 2025
WA-2025-100456,LN-4456-REG,Loan,VIETNAM, Department of Social Welfare  ,Basic Education Sector Program,ICT,SERD,"$273,038.02",USD,"May 04, 2025",09-May-2025,5.0,7,Yes,Processed,D. Manurung,CTLA-LGD,2025,Q2 2025
WA-2026-100327,LN-4327-REG,Loan,Indonesia,  National Water Utility  ,Sanitation Improvement Project,"Agriculture, Food, Nature and Rural Development",SERD,"2,285,153.07",USD,2026-02-08,27/02/2026,19.0,7,no,Processed,M. Akram,CTLA-LGD,2026,Q1 2026
WA-2026-100003,LN-4003-REG,Loan,NULL, National Water Utility,Urban Water Supply Program,Finance,PARD,"$93,463.64",USD,29-Apr-2025,03-May-2025,4.0,7,1,Processed,D. Nishimoto,CTLA-LGD,2025,Q2 2025
WA-2026-100491,LN-4491-MFF,Loan,Nepal,Rural Electrification Agency ,Digital Government Transformation,Public Sector Management and Governance,SARD,260914.08,USD,04/01/2026,,-,7,N/A,Under Review,R. Perez,CTLA-LGD,2026,Q1 2026
WA-2025-100474,LN-4474-REG,Loan,Nepal,  Ministry of ICT ,Public Financial Management Reform,Multisector,SARD,"USD 1,008,449.15",USD,"Jan 20, 2026",08-Feb-2026,19.0,7,0,Processed,S. Dhakal,CTLA-LGD,2026,Q1 2026
WA-2026-100021,TA-4021-REG,TA,Philippines, Ministry of Finance ,Renewable Energy Development,Energy,SERD,44170.91,USD,05-06-2026,2026-05-13,7.0,7,Y,Processed,A. Asuncion,CTLA-TA,2026,Q2 2026
WA-2025-100256,GR-4256-SF,Grant,Kyrgyz Republic,  National Water Utility ,Climate Resilient Infrastructure,Public Sector Management and Governance,CWRD,"$92,256.46",USD,2026-01-26,"Feb 07, 2026",12.0,7,no,Processed,D. Nishimoto,CTLA-PMR,2026,Q1 2026
